animal	hoko_id	uk_id	bcms	treatment	breed	sire	dam	dob	updated_pen	rfi_start_date	rfi_end_date	age_start_rfi	rfi_lwg	rfi_dmi	fcr	liveweight	ch4_g_day	ch4_g_kg_dmi	chosen_24	chosen_6	methane_emmit	vsplit	liver_group	ch4_dmi_binary
46	4546	UK561500704546	704546	treatment	Luing	UK561834701637	UK561500703853	2020-04-08T00:00:00Z	2	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	456	1.9761904761904765	13.386862220285089	6.774074858457514	708	193.0185425382249	20.113478365405243	FALSE	FALSE	Low	group1	NA	low
47	4551	UK561500504551	504551	treatment	Aberdeen Angus X	Protege 306	UK561500103889	2020-04-11T00:00:00Z	5	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	453	1.8285714285714283	12.004985080333917	6.56522621580761	704	233.021912358534	21.933054590982092	FALSE	FALSE	Mid	group1	NA	low
48	4559	UK561500604559	604559	control	Aberdeen Angus X	Protege 306	UK561500403192	2020-04-14T00:00:00Z	6	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	450	1.9714285714285715	11.698005466172448	5.933770888638199	700	217.92774787620385	19.137594181752323	TRUE	FALSE	Low	group1	liver group A	low
49	4565	UK561500504565	504565	treatment	Aberdeen Angus X	Protege 306	UK561500703433	2020-04-16T00:00:00Z	3	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	448	1.4904761904761905	11.745749410161345	7.880534748031573	694	288.9682322519557	25.342194609397364	FALSE	FALSE	Mid	group1	NA	high
50	4567	UK561500704567	704567	treatment	Aberdeen Angus X	UK561998302409	UK561500302715	2020-04-16T00:00:00Z	3	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	448	1.3952380952380952	11.60936211793397	8.320703224457795	680	273.57862526322964	24.605659547872985	FALSE	FALSE	Mid	group1	NA	high
51	4570	UK561500304570	304570	treatment	Luing	UK561834701637	UK561500603880	2020-04-17T00:00:00Z	4	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	447	1.5333333333333334	11.946526785972084	7.79121312128614	706	253.73983680347249	35.564945534346535	TRUE	TRUE	High	group2	liver group C	high
52	4575	UK561500104575	104575	control	Aberdeen Angus X	Protege 306	UK561500703769	2020-04-19T00:00:00Z	5	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	445	2.2285714285714286	12.410495794264548	5.568812215375118	700	203.72019706321709	20.70206587302243	FALSE	FALSE	Low	group2	NA	low
53	4577	UK561500304577	304577	control	Luing	UK562205100763	UK562080103236	2020-04-19T00:00:00Z	4	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	445	1.3857142857142857	11.565450900310983	8.346201680636792	646	244.7816475373995	27.892618476213283	FALSE	FALSE	High	group2	NA	high
54	4578	UK561500404578	404578	treatment	Aberdeen Angus X	UK311688700046	UK561500303198	2020-04-19T00:00:00Z	2	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	445	1.5809523809523809	11.81147928013024	7.471116412130573	696	254.33572004895743	21.31864202534602	FALSE	FALSE	Mid	group1	NA	low
55	4579	UK561500504579	504579	treatment	Aberdeen Angus X	Protege 306	UK561500103504	2020-04-19T00:00:00Z	6	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	445	1.8	12.460390291798223	6.922439050999013	686	204.33096478383837	18.88634593449408	TRUE	TRUE	Low	group1	liver group A	low
56	4583	UK561500204583	204583	control	Aberdeen Angus X	Protege 306	UK561500703426	2020-04-20T00:00:00Z	2	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	444	2.019047619047619	12.452616828363904	6.167569655557593	752	306.95284403350274	26.686262053785388	FALSE	FALSE	High	group2	NA	high
57	4585	UK561500404585	404585	control	Aberdeen Angus X	UK384042600294	UK561500103252	2020-04-20T00:00:00Z	3	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	444	1.3	11.371400767026548	8.747231359251192	706	210.37701888585775	33.19921366155124	FALSE	FALSE	High	group2	NA	high
58	4591	UK561500304591	304591	control	Aberdeen Angus X	UK561998302409	UK561500202462	2020-04-23T00:00:00Z	3	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	441	1.4761904761904765	11.724647150529515	7.9425029084232195	720	208.545563448874	25.597939221376908	FALSE	FALSE	Mid	group1	NA	high
59	4595	UK561500704595	704595	treatment	Aberdeen Angus X	UK561998302409	UK561500103609	2020-04-24T00:00:00Z	5	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	440	1.3428571428571427	11.573289004165218	8.618406705229418	716	274.81700580497346	25.489122186569308	TRUE	FALSE	Mid	group1	liver group A	high
60	4602	UK561500704602	704602	control	Luing	UK561834701637	UK561500503550	2020-05-02T00:00:00Z	1	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	432	1.738095238095238	12.172056119909872	7.003100781318008	692	293.01231562324097	28.301288540866732	TRUE	FALSE	High	group1	liver group B	high
61	4603	UK561500104603	104603	treatment	Luing	UK562205100763	UK542350100813	2020-05-02T00:00:00Z	3	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	432	1.838095238095238	12.371865225731453	6.730807506226956	696	218.74201583923983	21.103452557304813	TRUE	FALSE	Mid	group2	liver group A	low
62	4605	UK561500304605	304605	treatment	Aberdeen Angus X	UK561998302409	UK561500203827	2020-05-03T00:00:00Z	2	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	431	1.5238095238095235	10.65565489084537	6.9927735221172735	644	219.92621235702975	27.417137876269184	FALSE	FALSE	High	group1	NA	high
63	4607	UK561500504607	504607	control	Aberdeen Angus X	UK561998302409	UK561500202763	2020-05-04T00:00:00Z	1	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	430	1.6428571428571428	11.946011811863729	7.271485450699661	716	296.40504331073186	26.709442334041196	TRUE	FALSE	High	group1	liver group A	high
64	4619	UK561500304619	304619	control	Aberdeen Angus X	UK384042600294	UK561500503585	2020-05-08T00:00:00Z	6	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	426	2.4	11.343006572969312	4.726252738737213	680	244.2904829878416	24.85457949519153	FALSE	FALSE	Mid	group1	NA	high
65	4620	UK561500404620	404620	control	Luing	UK561834701637	UK561500102349	2020-05-09T00:00:00Z	4	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	425	1.4523809523809523	11.423855780546967	7.865605619392994	676	245.42373774083296	26.009365752295892	FALSE	FALSE	High	group1	NA	high
66	4622	UK561500604622	604622	control	Aberdeen Angus X	UK311688700046	UK561500103266	2020-05-12T00:00:00Z	5	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	422	2.2857142857142856	13.8740370107065	6.069891192184095	748	293.3914819511383	21.101738375496023	FALSE	FALSE	Mid	group2	NA	low
67	4624	UK561500104624	104624	control	Aberdeen Angus X	UK311688700046	UK561500603915	2020-05-13T00:00:00Z	1	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	421	1.619047619047619	12.463214650855262	7.697867872587073	732	306.2897644179506	32.15194771222418	TRUE	TRUE	High	group1	liver group A	high
68	4626	UK561500304626	304626	control	Aberdeen Angus X	UK311688700046	UK561500702915	2020-05-15T00:00:00Z	3	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	419	1.7666666666666666	12.331173719265252	6.979909652414294	742	289.33444015608563	22.27746124653088	FALSE	FALSE	Mid	group2	NA	low
69	4627	UK561500404627	404627	treatment	Aberdeen Angus X	UK311688700046	UK561500403388	2020-05-15T00:00:00Z	4	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	419	1.380952380952381	11.300191203039155	8.182897078062839	610	203.86880064470512	19.79153366109789	FALSE	FALSE	Low	group1	NA	low
70	4628	UK561500504628	504628	treatment	Luing	UK561834701637	UK561500102559	2020-05-15T00:00:00Z	4	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	419	1.4142857142857144	10.820046214888052	7.650537727698622	666	228.9767343942822	25.327581163372397	FALSE	FALSE	Mid	group1	NA	high
71	4629	UK561500604629	604629	treatment	Luing	UK541236107419	UK560366705400	2020-05-15T00:00:00Z	4	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	419	1.45	11.96551629531961	8.252080203668697	662	255.926158232589	24.31597999098258	FALSE	FALSE	Mid	group1	NA	high
72	4630	UK561500704630	704630	control	Aberdeen Angus X	UK311688700046	UK561500602571	2020-05-17T00:00:00Z	2	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	417	2.028571428571429	13.2604759497449	6.536854341423542	690	268.34229376655145	22.486622290167983	FALSE	FALSE	Mid	group2	NA	low
73	4631	UK561500104631	104631	control	Luing	UK561834701637	UK560366704924	2020-05-19T00:00:00Z	2	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	415	1.7666666666666666	10.44656557974401	5.913150328156988	672	172.86293800290338	22.403817075309444	FALSE	FALSE	Mid	group1	NA	low
74	4632	UK561500204632	204632	treatment	Luing	UK561834701637	UK106617100385	2020-05-19T00:00:00Z	1	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	415	1.6285714285714286	12.086218421548008	7.421362188669829	696	292.68216283811194	25.431370830983155	FALSE	FALSE	Mid	group1	NA	high
75	4633	UK561500304633	304633	control	Aberdeen Angus X	UK311688700046	UK561500703538	2020-05-20T00:00:00Z	4	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	414	1.8857142857142857	12.297282165858096	6.52128599704596	714	170.86617389002947	20.29207020452013	TRUE	FALSE	Low	group1	liver group A	low
76	4635	UK561500504635	504635	treatment	Luing	UK561834701637	UK560366505118	2020-05-21T00:00:00Z	5	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	413	2.2285714285714286	12.640853498515236	5.672177851897862	734	294.1338423196422	26.39061620256592	TRUE	FALSE	High	group2	liver group C	high
